"customer_id","customer_name","order_id","product_id","product_name","category","sub_category","order_date","ship_date","ship_mode","segment","region","state","city","sales","order_month","order_year","quantity_orders","customer_id:1","customer_name:1","orders_quantity","orders_sum","avg_order","last_order","last_order_day","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_segment"
AA-10480,Andrew Allen,CA-2018-114412,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,"2018-04-15 00:00:00","2018-04-20 00:00:00",Standard Class,Consumer,South,North Carolina,Concord,15.55,4,2018,1,AA-10480,Andrew Allen,1,15.55,15.55,"2018-04-15 00:00:00",259,4,1,1,6,"411",Потерянные клиенты
SF-20065,Sandra Flanagan,US-2018-156909,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,"2018-07-16 00:00:00","2018-07-18 00:00:00",Second Class,Consumer,East,Pennsylvania,Philadelphia,71.37,7,2018,2,SF-20065,Sandra Flanagan,2,302.06,100.69,"2018-11-01 00:00:00",59,3,2,2,7,"322",Спящие клиенты
MA-17560,Matt Abelman,CA-2018-107727,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,"2018-10-19 00:00:00","2018-10-23 00:00:00",Second Class,Home Office,Central,Texas,Houston,29.47,10,2018,3,MA-17560,Matt Abelman,3,109.24,27.31,"2018-10-27 00:00:00",64,3,3,1,7,"331",Спящие клиенты
LC-16930,Linda Cazamias,CA-2018-120999,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,"2018-09-10 00:00:00","2018-09-15 00:00:00",Standard Class,Corporate,Central,Illinois,Naperville,147.17,9,2018,3,LC-16930,Linda Cazamias,3,460.88,153.63,"2018-11-19 00:00:00",41,2,3,2,7,"232",Лояльные клиенты
ES-14080,Erin Smith,CA-2018-139619,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,"2018-09-19 00:00:00","2018-09-23 00:00:00",Standard Class,Corporate,South,Florida,Melbourne,95.62,9,2018,3,ES-14080,Erin Smith,3,1710.26,342.05,"2018-12-02 00:00:00",28,2,4,4,10,"244",Лояльные клиенты
TB-21520,Tracy Blumstein,CA-2018-114440,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,"2018-09-14 00:00:00","2018-09-17 00:00:00",Second Class,Consumer,Central,Michigan,Jackson,19.05,9,2018,2,TB-21520,Tracy Blumstein,2,92.56,30.85,"2018-09-14 00:00:00",107,3,2,1,6,"321",Спящие клиенты
KB-16600,Ken Brennan,US-2018-118038,OFF-BI-10004182,Economy Binders,Office Supplies,Binders,"2018-12-09 00:00:00","2018-12-11 00:00:00",First Class,Corporate,Central,Texas,Houston,1.25,12,2018,3,KB-16600,Ken Brennan,3,877.85,175.57,"2018-12-29 00:00:00",1,1,3,3,7,"133",Новые клиенты
KB-16600,Ken Brennan,US-2018-118038,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,"2018-12-09 00:00:00","2018-12-11 00:00:00",First Class,Corporate,Central,Texas,Houston,9.71,12,2018,3,KB-16600,Ken Brennan,3,877.85,175.57,"2018-12-29 00:00:00",1,1,3,3,7,"133",Новые клиенты
KB-16600,Ken Brennan,US-2018-118038,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,"2018-12-09 00:00:00","2018-12-11 00:00:00",First Class,Corporate,Central,Texas,Houston,27.24,12,2018,3,KB-16600,Ken Brennan,3,877.85,175.57,"2018-12-29 00:00:00",1,1,3,3,7,"133",Новые клиенты
CS-12400,Christopher Schild,US-2018-119662,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,"2018-11-13 00:00:00","2018-11-16 00:00:00",First Class,Home Office,Central,Illinois,Chicago,230.38,11,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
PO-18865,Patrick O'Donnell,CA-2018-140088,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,"2018-05-28 00:00:00","2018-05-30 00:00:00",Second Class,Consumer,South,South Carolina,Columbia,301.96,5,2018,4,PO-18865,Patrick O'Donnell,4,1139.47,142.43,"2018-12-30 00:00:00",0,1,4,3,8,"143",Новые клиенты
PG-18895,Paul Gonzalez,CA-2018-155558,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,"2018-10-26 00:00:00","2018-11-02 00:00:00",Standard Class,Consumer,Central,Minnesota,Rochester,19.99,10,2018,4,PG-18895,Paul Gonzalez,4,780.25,130.04,"2018-11-03 00:00:00",57,3,4,3,10,"343",Спящие клиенты
PG-18895,Paul Gonzalez,CA-2018-155558,OFF-LA-10000134,Avery 511,Office Supplies,Labels,"2018-10-26 00:00:00","2018-11-02 00:00:00",Standard Class,Consumer,Central,Minnesota,Rochester,6.16,10,2018,4,PG-18895,Paul Gonzalez,4,780.25,130.04,"2018-11-03 00:00:00",57,3,4,3,10,"343",Спящие клиенты
RB-19705,Roger Barcio,US-2018-109484,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,"2018-11-06 00:00:00","2018-11-12 00:00:00",Standard Class,Home Office,West,Oregon,Portland,5.68,11,2018,2,RB-19705,Roger Barcio,2,1775.87,355.17,"2018-11-06 00:00:00",54,2,3,4,9,"234",Лояльные клиенты
PN-18775,Parhena Norris,CA-2018-161018,FUR-FU-10000629,"9-3/4 Diameter Round Wall Clock",Furniture,Furnishings,"2018-11-09 00:00:00","2018-11-11 00:00:00",Second Class,Home Office,East,New York,New York City,96.53,11,2018,4,PN-18775,Parhena Norris,4,791.98,99.0,"2018-11-30 00:00:00",30,2,4,3,9,"243",Лояльные клиенты
KD-16345,Katherine Ducich,CA-2018-157833,OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,"2018-06-17 00:00:00","2018-06-20 00:00:00",First Class,Consumer,West,California,San Francisco,51.31,6,2018,2,KD-16345,Katherine Ducich,2,83.28,41.64,"2018-11-19 00:00:00",41,2,2,1,5,"221",Лояльные клиенты
JM-15250,Janet Martin,CA-2018-119004,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,"2018-11-23 00:00:00","2018-11-28 00:00:00",Standard Class,Consumer,South,North Carolina,Charlotte,74.11,11,2018,5,JM-15250,Janet Martin,5,2660.5,177.37,"2018-11-23 00:00:00",37,2,4,4,10,"244",Лояльные клиенты
JM-15250,Janet Martin,CA-2018-119004,TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,"2018-11-23 00:00:00","2018-11-28 00:00:00",Standard Class,Consumer,South,North Carolina,Charlotte,27.99,11,2018,5,JM-15250,Janet Martin,5,2660.5,177.37,"2018-11-23 00:00:00",37,2,4,4,10,"244",Лояльные клиенты
JM-15250,Janet Martin,CA-2018-119004,OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,"2018-11-23 00:00:00","2018-11-28 00:00:00",Standard Class,Consumer,South,North Carolina,Charlotte,3.3,11,2018,5,JM-15250,Janet Martin,5,2660.5,177.37,"2018-11-23 00:00:00",37,2,4,4,10,"244",Лояльные клиенты
CV-12805,Cynthia Voltz,CA-2018-146780,FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,"2018-12-25 00:00:00","2018-12-30 00:00:00",Standard Class,Corporate,East,New York,New York City,41.96,12,2018,7,CV-12805,Cynthia Voltz,7,1334.66,102.67,"2018-12-25 00:00:00",5,1,4,4,9,"144",Новые клиенты
TS-21610,Troy Staebel,US-2018-107272,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,"2018-11-05 00:00:00","2018-11-12 00:00:00",Standard Class,Consumer,West,Arizona,Phoenix,2.39,11,2018,4,TS-21610,Troy Staebel,4,1657.31,207.16,"2018-11-05 00:00:00",55,2,4,4,10,"244",Лояльные клиенты
TS-21610,Troy Staebel,US-2018-107272,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,"2018-11-05 00:00:00","2018-11-12 00:00:00",Standard Class,Consumer,West,Arizona,Phoenix,243.99,11,2018,4,TS-21610,Troy Staebel,4,1657.31,207.16,"2018-11-05 00:00:00",55,2,4,4,10,"244",Лояльные клиенты
